uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"97332cc0-135b-467a-9fe8-39970c7c6079","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-07-08T20:36Z","2019-07-09T11:16Z","2019-08-21","OSBS_057.20190709.0716.S.01",,"Y",5,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"fba3ae55-113a-4a83-9cd5-c92eb8564281","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-07-08T20:36Z","2019-07-09T11:16Z","2019-08-21","OSBS_057.20190709.0716.S.01",,"Y",142,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"41daac33-e55d-4822-abf1-04c0b5eb6ba9","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-07-08T20:36Z","2019-07-09T11:16Z","2019-08-21","OSBS_057.20190709.0716.S.01",,"Y",53,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"26269c00-5e70-45da-bbfd-c1ec1739c252","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-07-08T21:05Z","2019-07-09T11:39Z","2019-08-21","OSBS_055.20190709.0739.S.01",,"Y",111,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2b23dc7a-cf01-488a-887e-bf5eed3625a6","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-07-08T21:05Z","2019-07-09T11:39Z","2019-08-21","OSBS_055.20190709.0739.S.01",,"Y",2,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"e856303e-95e3-4dea-9bc5-90e86a1ad654","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-07-08T21:05Z","2019-07-09T11:39Z","2019-08-21","OSBS_055.20190709.0739.S.01",,"Y",2,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"fcda74fb-3787-4e6a-8e69-8d28315966b4","OSBS_055.mosquitoPoint.mos","D03","OSBS","OSBS_055","2019-07-08T21:05Z","2019-07-09T11:39Z","2019-08-21","OSBS_055.20190709.0739.S.01",,"Y",85,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"a8da7bf4-5bb1-4411-8f25-ecb1741b1f63","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2019-07-08T21:27Z","2019-07-09T12:03Z","2019-08-20","OSBS_054.20190709.0803.S.01",,"Y",26,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"df5a0e4e-2250-468b-8cab-299ba7be14d0","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2019-07-08T21:27Z","2019-07-09T12:03Z","2019-08-20","OSBS_054.20190709.0803.S.01",,"Y",3,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"244f6118-13b4-4525-b1ed-0ebed46c5ad6","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2019-07-08T21:27Z","2019-07-09T12:03Z","2019-08-20","OSBS_054.20190709.0803.S.01",,"Y",149,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"e620bdb4-0320-4758-937c-231d03035934","OSBS_054.mosquitoPoint.mos","D03","OSBS","OSBS_054","2019-07-08T21:27Z","2019-07-09T12:03Z","2019-08-20","OSBS_054.20190709.0803.S.01",,"Y",1,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"5499442c-c443-48cd-b433-27abe6d97c99","OSBS_052.mosquitoPoint.mos","D03","OSBS","OSBS_052","2019-07-08T21:36Z","2019-07-09T12:16Z","2019-08-20","OSBS_052.20190709.0816.S.01",,"Y",89,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"5f63eaa2-bf1f-4881-b331-d710ef7315aa","OSBS_052.mosquitoPoint.mos","D03","OSBS","OSBS_052","2019-07-08T21:36Z","2019-07-09T12:16Z","2019-08-20","OSBS_052.20190709.0816.S.01",,"Y",102,"COQPER","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Coquillettidia","Coquillettidia","perturbans",,"Coquillettidia perturbans","(Walker, 1856)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
