uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"5a259a94-0f44-44fd-824f-28dff664b648","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",34,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"e7168efa-835e-4e26-9e8b-ca66b94e699a","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",5,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"d24c458d-4d9b-4945-b083-e46d03bd7978","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",51,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"0ab1c3ca-782f-4346-a162-ee2907e9cfa6","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",1,"AEDINF","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Ochlerotatus","infirmatus",,"Aedes infirmatus","Dyar and Knab, 1906","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"af67e5c1-4703-4216-befc-fedd46b80b70","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",64,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"4dc8a31c-f8fa-494c-af32-5c6d137d827d","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2020-11-10T19:18Z","2020-11-11T12:52Z","2020-12-08","OSBS_057.20201111.0752.S.01",,"Y",1,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","salinarius",,"Culex salinarius","Coquillett, 1904","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"c82319dd-f26e-40ea-bc25-661e4812712c","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2020-11-10T19:25Z","2020-11-11T13:01Z","2020-12-09","OSBS_078.20201111.0801.S.01",,"Y",15,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2356c720-0e41-4599-bd47-14e72afa415e","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2020-11-10T19:25Z","2020-11-11T13:01Z","2020-12-09","OSBS_078.20201111.0801.S.01",,"Y",11,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"f330cb9b-b4bf-4e03-be27-c02869bb8bcf","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2020-11-10T19:25Z","2020-11-11T13:01Z","2020-12-09","OSBS_078.20201111.0801.S.01",,"Y",12,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
"2583a40b-941e-4bc5-9ae9-7d9c476523a7","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2020-11-10T19:25Z","2020-11-11T13:01Z","2020-12-09","OSBS_078.20201111.0801.S.01",,"Y",29,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"K.L. Renfro","Vector Disease Control International",
