uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"19cd24d3-46f0-4c26-b834-94c5a8168483","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",1,"AEDTRI1","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Protomacleaya","triseriatus",,"Aedes triseriatus","(Say, 1823)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"5dd8fa24-9b5a-4979-9525-82a5a22575d4","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",9,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"d04537e0-0174-4a0f-9371-1176d59d29bc","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",8,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","salinarius",,"Culex salinarius","Coquillett, 1904","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"09172a8b-35ef-47fa-be7a-729cebb5f208","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"f0c470eb-c16a-40bd-961a-cef8bd4acc55","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",6,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"fc105f6a-a5f4-4ad7-84f8-c678fa85f04f","OSBS_056.mosquitoPoint.mos","D03","OSBS","OSBS_056","2019-12-10T18:48Z","2019-12-11T13:05Z","2020-01-17","OSBS_056.20191211.0805.S.01",,"Y",107,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"d0c07d3b-1b20-4c5d-ad30-01cb57a79b50","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-12-10T18:55Z","2019-12-11T13:17Z","2020-01-17","OSBS_057.20191211.0817.S.01",,"Y",4,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","coronator",,"Culex coronator","Dyar and Knab, 1906","species","A",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"1bdd49a2-a93e-49f1-ab27-07e9e11e841b","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-12-10T18:55Z","2019-12-11T13:17Z","2020-01-17","OSBS_057.20191211.0817.S.01",,"Y",28,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"c26e0b9f-969b-4023-a52e-d755107de1bf","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-12-10T18:55Z","2019-12-11T13:17Z","2020-01-17","OSBS_057.20191211.0817.S.01",,"Y",1,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedimorphus","vexans",,"Aedes vexans","(Meigen, 1830)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"ca7a1256-5560-4c6a-bd12-e4be6e328499","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2019-12-10T18:55Z","2019-12-11T13:17Z","2020-01-17","OSBS_057.20191211.0817.S.01",,"Y",5,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
