uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,subsampleID,subsampleCode,targetTaxaPresent,individualCount,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,nativeStatusCode,identificationQualifier,sex,identificationReferences,sampleCondition,identificationRemarks,remarks,identifiedBy,laboratoryName,identificationHistoryID
"53cc38ce-6c54-4521-a463-fd8cca4d132c","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",1,"CULCOR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","coronator",,"Culex coronator","Dyar and Knab, 1906","species","A",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"786e0ba7-33d0-4836-b47b-9b0732b582d3","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",4,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"1b8dc515-c315-4760-8552-4e4f3ebeb4ae","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",4,"CULNIG","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","nigripalpus",,"Culex nigripalpus","Theobald, 1901","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"137f35a7-7074-4a11-a030-9d3885a0288d","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",1,"AEDALB","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Stegomyia","albopictus",,"Aedes albopictus","(Skuse, 1895)","species","I",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"5cb8c5b4-49dd-4b85-b58d-bb88b2bff6b5","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",2,"CULMEL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culisetini","Culiseta","Climacura","melanura",,"Culiseta melanura","(Coquillett, 1902)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"7fd21b57-9fd9-46e3-a7a4-f58a7e41a6cd","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",1,"CULSAL","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Culex","salinarius",,"Culex salinarius","Coquillett, 1904","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"aacadd38-3460-4ed9-89fe-90ec9abf980d","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",8,"CULERR","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Culicini","Culex","Melanoconion","erraticus",,"Culex erraticus","(Dyar and Knab, 1906)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"f6de34f9-2926-480d-ad47-bd31df85cbbf","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",119,"ANOCRU","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Anophelinae",,"Anopheles","Anopheles","crucians",,"Anopheles crucians","Wiedemann, 1828","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"7bbf85fc-f0b8-44d8-b6bb-0957ee44b474","OSBS_057.mosquitoPoint.mos","D03","OSBS","OSBS_057","2021-12-06T19:53Z","2021-12-07T12:39Z","2022-01-10","OSBS_057.20211207.0739.S.01",,"Y",2,"AEDVEX","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Aedini","Aedes","Aedimorphus","vexans",,"Aedes vexans","(Meigen, 1830)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"M.J. Weissmann","Vector Disease Control International",
"1a2370ea-f3d4-4115-be8f-5e9ff468327a","OSBS_078.mosquitoPoint.mos","D03","OSBS","OSBS_078","2021-12-06T20:03Z","2021-12-07T12:51Z","2022-01-10","OSBS_078.20211207.0751.S.01",,"Y",16,"MANTIT","Animalia","Arthropoda","Insecta","Diptera","Culicidae","Culicinae","Mansoniini","Mansonia","Mansonia","titillans",,"Mansonia titillans","(Walker, 1848)","species","N",,"F","Darsie Jr., R. F., and R. A. Ward. 2005. Identification and geographical distribution of the mosquitoes of North America, North of Mexico. University Press of Florida, Gainesville.","No known compromise",,,"A.E. Wanek","Vector Disease Control International",
